locus_family	E. cloacae	K. pneumoniae	S. marcescens	C. rodentium	E. coli	S. enterica	num_genomes
4359	ECL_RS03890	KPNIH1_RS03755	SMDB11_RS23725	ROD_RS24970	b4392	STM14_RS24000	6
4360	ECL_RS03895	KPNIH1_RS03760	SMDB11_RS23730	ROD_RS24975	b4393	STM14_RS24005	6
4361	ECL_RS03900	KPNIH1_RS03765	SMDB11_RS23735	ROD_RS24980	b4394	STM14_RS24010	6
4362	ECL_RS03915	KPNIH1_RS03780	SMDB11_RS23750	ROD_RS24995	b4397	STM14_RS24025	6
4406	ECL_RS04160	KPNIH1_RS04155	SMDB11_RS00235	ROD_RS00370	b0066	STM14_RS01105	6
4407	ECL_RS14595	KPNIH1_RS33285	SMDB11_RS02735	ROD_RS03845	b0760	STM14_RS04515	6
4408	ECL_RS14570	KPNIH1_RS08355	SMDB11_RS02785	ROD_RS03870	b0765	STM14_RS04540	6
4409	ECL_RS18645	KPNIH1_RS19375	SMDB11_RS14095	ROD_RS11785	b2422	STM14_RS13440	6
4410	ECL_RS20040	KPNIH1_RS20995	SMDB11_RS15460	ROD_RS15435	b2677	STM14_RS15080	6
4411	ECL_RS04500	KPNIH1_RS04550	SMDB11_RS16920	ROD_RS00705	b0127	STM14_RS01445	6
4421	ECL_RS05885	KPNIH1_RS06030	SMDB11_RS01775	ROD_RS02535	b0448	STM14_RS02920	6
4422	ECL_RS05890	KPNIH1_RS06035	SMDB11_RS01780	ROD_RS02540	b0449	STM14_RS02925	6
4423	ECL_RS13580	KPNIH1_RS09335	SMDB11_RS04835	ROD_RS04855	b0886	STM14_RS05230	6
4424	ECL_RS13575	KPNIH1_RS09340	SMDB11_RS04840	ROD_RS04860	b0887	STM14_RS05235	6
4425	ECL_RS13240	KPNIH1_RS09630	SMDB11_RS05110	ROD_RS05160	b0949	STM14_RS05800	6
4426	ECL_RS03885	KPNIH1_RS03750	SMDB11_RS23705	ROD_RS24965	b4391	STM14_RS23995	6
4427	ECL_RS22830	KPNIH1_RS24385	SMDB11_RS17840	ROD_RS22850	b3195	STM14_RS17620	6
4428	ECL_RS11600	KPNIH1_RS15905	SMDB11_RS07220	ROD_RS06825	b1682	STM14_RS07710	6
4429	ECL_RS22860	KPNIH1_RS24415	SMDB11_RS17870	ROD_RS22820	b3201	STM14_RS17650	6
4430	ECL_RS11810	KPNIH1_RS16065	SMDB11_RS07075	ROD_RS06715	b1709	STM14_RS07570	6
4431	ECL_RS23555	KPNIH1_RS25125	SMDB11_RS18940	ROD_RS22020	b3352	STM14_RS18360	6
4432	ECL_RS07090	KPNIH1_RS17200	SMDB11_RS10110	ROD_RS09410	b1858	STM14_RS10370	6
4433	ECL_RS04005	KPNIH1_RS03890	SMDB11_RS00065	ROD_RS00100	b0020	STM14_RS00770	6
4434	ECL_RS18030	KPNIH1_RS18895	SMDB11_RS13345	ROD_RS13285	b2289	STM14_RS12860	6
4435	ECL_RS04220	KPNIH1_RS04245	SMDB11_RS00285	ROD_RS00425	b0076	STM14_RS01155	6
4436	ECL_RS18585	KPNIH1_RS19290	SMDB11_RS14030	ROD_RS11705	b2409	STM14_RS13350	6
4437	ECL_RS17160	KPNIH1_RS18450	SMDB11_RS12600	ROD_RS11325	b2157	STM14_RS12210	6
4438	ECL_RS24725	KPNIH1_RS00925	SMDB11_RS21585	ROD_RS19430	b3828	STM14_RS20880	6
4439	ECL_RS21145	KPNIH1_RS22725	SMDB11_RS16495	ROD_RS24210	b2916	STM14_RS16375	6
4440	ECL_RS20795	KPNIH1_RS22220	SMDB11_RS16040	ROD_RS14260	b2839	STM14_RS16120	6
4444	ECL_RS11465	KPNIH1_RS15180	SMDB11_RS07300	ROD_RS07040	b1659	STM14_RS08000	6
4445	ECL_RS23070	KPNIH1_RS24580	SMDB11_RS18015	ROD_RS22595	b3243	STM14_RS17895	6
4446	ECL_RS25075	KPNIH1_RS00535	SMDB11_RS19855	ROD_RS18700	b3961	STM14_RS21685	6
4447	ECL_RS25005	KPNIH1_RS00605	SMDB11_RS19785	ROD_RS19730	b4480	STM14_RS20555	6
4448	ECL_RS24950	KPNIH1_RS00650	SMDB11_RS19725	ROD_RS19685	b3773	STM14_RS20610	6
4450	ECL_RS08845	KPNIH1_RS11510	SMDB11_RS09250	ROD_RS08340	b1323	STM14_RS09305	6
4451	ECL_RS14850	KPNIH1_RS08045	SMDB11_RS02440	ROD_RS03535	b0694	STM14_RS04125	6
4452	ECL_RS11135	KPNIH1_RS12555	SMDB11_RS09100	ROD_RS07270	b1608	STM14_RS08230	6
4453	ECL_RS17420	KPNIH1_RS18680	SMDB11_RS13155	ROD_RS11640	b2217	STM14_RS12560	6
4454	ECL_RS06750	KPNIH1_RS17405	SMDB11_RS05460	ROD_RS09755	b1914	STM14_RS10645	6
4455	ECL_RS08010	KPNIH1_RS16270	SMDB11_RS09785	ROD_RS08775	b1235	STM14_RS09660	6
4460	ECL_RS08750	KPNIH1_RS11465	SMDB11_RS09285	ROD_RS08465	b1303	STM14_RS09345	6
4463	ECL_RS03170	KPNIH1_RS02705	SMDB11_RS22975	ROD_RS16345	b4241	STM14_RS23355	6
4464	ECL_RS04235	KPNIH1_RS04260	SMDB11_RS00305	ROD_RS00440	b0080	STM14_RS01170	6
4467	ECL_RS06145	KPNIH1_RS06350	SMDB11_RS02015	ROD_RS02760	b0493	STM14_RS03140	6
4468	ECL_RS08560	KPNIH1_RS11135	SMDB11_RS09530	ROD_RS08590	b1271	STM14_RS09490	6
4469	ECL_RS20180	KPNIH1_RS21170	SMDB11_RS14680	ROD_RS15300	b2705	STM14_RS15210	6
4470	ECL_RS15020	KPNIH1_RS07875	SMDB11_RS02270	ROD_RS03340	b0654	STM14_RS03930	6
4471	ECL_RS20045	KPNIH1_RS21000	SMDB11_RS15465	ROD_RS15430	b2678	STM14_RS15085	6
4472	ECL_RS18145	KPNIH1_RS18985	SMDB11_RS13460	ROD_RS13405	b2307	STM14_RS12975	6
4473	ECL_RS17030	KPNIH1_RS18310	SMDB11_RS03560	ROD_RS11120	b2130	STM14_RS12030	6
4480	ECL_RS19380	KPNIH1_RS20210	SMDB11_RS15050	ROD_RS12350	b2556	STM14_RS14045	6
4481	ECL_RS05625	KPNIH1_RS05670	SMDB11_RS01515	ROD_RS02235	b0400	STM14_RS02610	6
4482	ECL_RS12290	KPNIH1_RS10370	SMDB11_RS06410	ROD_RS06095	b1129	STM14_RS06660	6
4483	ECL_RS25485	KPNIH1_RS00150	SMDB11_RS20320	ROD_RS19240	b3869	STM14_RS21085	6
4484	ECL_RS23795	KPNIH1_RS25320	SMDB11_RS19185	ROD_RS21790	b3404	STM14_RS18570	6
4492	ECL_RS00940	KPNIH1_RS26180	SMDB11_RS20705	ROD_RS20870	b3572	STM14_RS19395	6
4493	ECL_RS21830	KPNIH1_RS23585	SMDB11_RS17465	ROD_RS17715	b3052	STM14_RS17075	6
4494	ECL_RS15015	KPNIH1_RS07880	SMDB11_RS02275	ROD_RS03345	b0655	STM14_RS03935	6
4495	ECL_RS17290	KPNIH1_RS18535	SMDB11_RS12710	ROD_RS11435	b2177	STM14_RS12285	6
4496	ECL_RS11400	KPNIH1_RS15115	SMDB11_RS07365	ROD_RS07095	b1647	STM14_RS08050	6
4503	ECL_RS17935	KPNIH1_RS18805	SMDB11_RS13245	ROD_RS13185	b2264	STM14_RS12755	6
11	ECL_RS05965	KPNIH1_RS06100	NA	ROD_RS02575	b0457	STM14_RS02955	5
14	ECL_RS01555	KPNIH1_RS01650	NA	ROD_RS16970	b4061	STM14_RS22385	5
136	ECL_RS02890	KPNIH1_RS02430	NA	ROD_RS16095	b4208	STM14_RS23070	5
161	ECL_RS20860	KPNIH1_RS22305	NA	ROD_RS14330	b2844	STM14_RS16145	5
163	ECL_RS14230	KPNIH1_RS08740	NA	ROD_RS04175	b0819	STM14_RS04820	5
165	ECL_RS16425	KPNIH1_RS17535	NA	ROD_RS10410	b1990	STM14_RS11280	5
166	ECL_RS12375	KPNIH1_RS10285	NA	ROD_RS05920	b1113	STM14_RS06580	5
235	NA	KPNIH1_RS25970	SMDB11_RS21100	ROD_RS21025	b3542	STM14_RS19205	5
260	ECL_RS18730	KPNIH1_RS19550	SMDB11_RS14300	NA	b2470	STM14_RS13640	5
264	ECL_RS23190	KPNIH1_RS24800	NA	ROD_RS22470	b3266	STM14_RS18020	5
307	ECL_RS21655	KPNIH1_RS23495	NA	ROD_RS17575	b3025	STM14_RS16960	5
360	ECL_RS25280	KPNIH1_RS00350	NA	ROD_RS18995	b3905	STM14_RS21305	5
387	ECL_RS01790	KPNIH1_RS01885	NA	ROD_RS17160	b4111	STM14_RS22520	5
395	ECL_RS24500	KPNIH1_RS25825	NA	ROD_RS21135	b3521	STM14_RS19090	5
418	ECL_RS16480	KPNIH1_RS17845	NA	ROD_RS10645	b2010	STM14_RS11515	5
420	ECL_RS14125	KPNIH1_RS08860	NA	ROD_RS04295	b0839	STM14_RS04955	5
425	ECL_RS09880	KPNIH1_RS13135	NA	ROD_RS07515	b1531	STM14_RS08455	5
427	ECL_RS01560	KPNIH1_RS01655	NA	ROD_RS16975	b4062	STM14_RS22390	5
440	ECL_RS12380	KPNIH1_RS10280	NA	ROD_RS05900	b1112	STM14_RS06575	5
442	ECL_RS00175	KPNIH1_RS26915	NA	ROD_RS20150	b3671	STM14_RS20045	5
445	ECL_RS24975	KPNIH1_RS00625	SMDB11_RS19765	ROD_RS19710	NA	STM14_RS20575	5
448	ECL_RS20280	KPNIH1_RS21285	NA	ROD_RS15190	b2724	STM14_RS15300	5
451	ECL_RS20225	KPNIH1_RS21220	NA	ROD_RS15260	b2713	STM14_RS15255	5
476	NA	KPNIH1_RS16045	SMDB11_RS07170	ROD_RS06740	b1704	STM14_RS07595	5
479	ECL_RS17945	NA	SMDB11_RS13250	ROD_RS13195	b2266	STM14_RS12765	5
526	ECL_RS23945	KPNIH1_RS25480	NA	ROD_RS21625	b3440	STM14_RS18780	5
544	ECL_RS20560	KPNIH1_RS21650	NA	ROD_RS14885	b2789	STM14_RS15855	5
560	ECL_RS01030	KPNIH1_RS26090	NA	ROD_RS20935	b3556	STM14_RS19315	5
570	ECL_RS05220	KPNIH1_RS05360	NA	ROD_RS01715	b0241	STM14_RS02210	5
597	ECL_RS11285	KPNIH1_RS14995	NA	ROD_RS07205	b1625	STM14_RS08160	5
603	ECL_RS08870	KPNIH1_RS11540	SMDB11_RS09225	ROD_RS08320	NA	STM14_RS09280	5
635	ECL_RS23185	KPNIH1_RS24795	NA	ROD_RS22475	b3265	STM14_RS18015	5
687	ECL_RS13540	KPNIH1_RS09380	NA	ROD_RS04895	b0894	STM14_RS05270	5
690	ECL_RS02845	KPNIH1_RS02385	NA	ROD_RS16045	b4198	STM14_RS23020	5
693	ECL_RS04135	KPNIH1_RS04125	NA	ROD_RS00345	b0061	STM14_RS01080	5
723	ECL_RS12670	KPNIH1_RS10055	NA	ROD_RS05610	b1054	STM14_RS06275	5
742	ECL_RS20600	KPNIH1_RS21690	NA	ROD_RS14020	b2797	STM14_RS15895	5
774	ECL_RS13535	KPNIH1_RS09385	NA	ROD_RS04900	b0895	STM14_RS05275	5
784	ECL_RS17265	KPNIH1_RS18510	SMDB11_RS12680	ROD_RS11410	b2172	NA	5
888	ECL_RS09125	KPNIH1_RS14795	NA	ROD_RS07920	b1444	STM14_RS08860	5
941	ECL_RS21180	KPNIH1_RS22765	NA	ROD_RS24835	b2935	STM14_RS16440	5
956	ECL_RS20595	KPNIH1_RS21685	NA	ROD_RS14015	b2796	STM14_RS15890	5
1008	NA	KPNIH1_RS17290	SMDB11_RS11085	ROD_RS09635	b1895	STM14_RS10545	5
1026	ECL_RS18720	KPNIH1_RS19545	NA	ROD_RS11950	b2468	STM14_RS13630	5
1028	ECL_RS20000	KPNIH1_RS20940	NA	ROD_RS15475	b2669	STM14_RS15025	5
1049	ECL_RS11950	KPNIH1_RS10945	NA	ROD_RS06590	b1736	STM14_RS07430	5
1057	ECL_RS20840	KPNIH1_RS22285	NA	ROD_RS14300	b2842	STM14_RS16135	5
1079	ECL_RS01065	KPNIH1_RS26035	NA	ROD_RS20965	b3551	STM14_RS19290	5
1136	ECL_RS06820	KPNIH1_RS17365	NA	ROD_RS09705	b1907	STM14_RS10595	5
1138	ECL_RS22650	KPNIH1_RS24195	NA	ROD_RS23090	b3161	STM14_RS17440	5
1168	ECL_RS18220	KPNIH1_RS19065	NA	ROD_RS13495	b2322	STM14_RS13075	5
1169	ECL_RS24105	KPNIH1_RS25660	NA	ROD_RS21425	b3473	STM14_RS18960	5
1173	ECL_RS04185	KPNIH1_RS04185	SMDB11_RS00255	ROD_RS00395	b0070	NA	5
1190	ECL_RS15280	KPNIH1_RS07540	NA	ROD_RS03060	b0598	STM14_RS03605	5
1192	ECL_RS11985	KPNIH1_RS10910	NA	ROD_RS06560	b1743	STM14_RS07400	5
1197	ECL_RS12905	KPNIH1_RS09870	NA	ROD_RS05400	b4518	STM14_RS06090	5
1250	NA	KPNIH1_RS00730	SMDB11_RS21225	ROD_RS19610	b3788	STM14_RS20675	5
1271	ECL_RS09360	KPNIH1_RS14495	NA	ROD_RS07780	b1474	STM14_RS08720	5
1280	NA	KPNIH1_RS22985	SMDB11_RS17135	ROD_RS24680	b2965	STM14_RS16630	5
1303	ECL_RS21305	KPNIH1_RS22875	NA	ROD_RS24800	b2943	STM14_RS16515	5
1305	ECL_RS20835	KPNIH1_RS22280	NA	ROD_RS14295	b2841	STM14_RS16130	5
1318	ECL_RS10975	KPNIH1_RS12790	NA	ROD_RS07305	b1601	STM14_RS08260	5
1319	ECL_RS24110	KPNIH1_RS25665	NA	ROD_RS21420	b3474	STM14_RS18965	5
1338	ECL_RS22840	KPNIH1_RS24395	SMDB11_RS17850	NA	b3197	STM14_RS17630	5
1340	ECL_RS23180	KPNIH1_RS24790	NA	ROD_RS22485	b3264	STM14_RS18010	5
1365	ECL_RS15290	KPNIH1_RS07535	NA	ROD_RS03040	b0597	STM14_RS03600	5
1371	ECL_RS09330	KPNIH1_RS14560	NA	ROD_RS07815	b1469	STM14_RS08755	5
1390	ECL_RS15275	KPNIH1_RS07545	NA	ROD_RS03065	b4512	STM14_RS03610	5
1417	ECL_RS09365	KPNIH1_RS14490	NA	ROD_RS07775	b1475	STM14_RS08715	5
1443	ECL_RS18875	KPNIH1_RS19680	NA	ROD_RS12090	b2503	STM14_RS13750	5
1444	ECL_RS18540	KPNIH1_RS19240	NA	ROD_RS13875	b2395	STM14_RS13275	5
1456	ECL_RS14200	KPNIH1_RS08780	NA	ROD_RS04200	b0822	STM14_RS04845	5
1457	ECL_RS14100	KPNIH1_RS08880	NA	ROD_RS04315	b0844	STM14_RS04975	5
1465	ECL_RS02830	KPNIH1_RS02370	NA	ROD_RS16030	b4195	STM14_RS23005	5
1496	ECL_RS02930	KPNIH1_RS02455	NA	ROD_RS16120	b4212	STM14_RS23090	5
1512	ECL_RS18555	KPNIH1_RS19255	NA	ROD_RS13905	b2398	STM14_RS13290	5
1523	ECL_RS14525	KPNIH1_RS08460	NA	ROD_RS03935	b0773	STM14_RS04585	5
1565	ECL_RS16745	NA	SMDB11_RS04260	ROD_RS10890	b2062	STM14_RS11795	5
1571	ECL_RS02840	KPNIH1_RS02380	NA	ROD_RS16040	b4197	STM14_RS23015	5
1579	ECL_RS20550	KPNIH1_RS21640	NA	ROD_RS14890	b2787	STM14_RS15845	5
1605	ECL_RS22410	KPNIH1_RS23940	SMDB11_RS17650	ROD_RS23660	b3094	NA	5
1610	ECL_RS22405	KPNIH1_RS23935	SMDB11_RS17645	ROD_RS23665	b3093	NA	5
1619	ECL_RS23845	KPNIH1_RS25375	NA	ROD_RS21735	b3415	STM14_RS18625	5
1625	ECL_RS25110	KPNIH1_RS00495	NA	ROD_RS18770	b3946	STM14_RS21615	5
1636	ECL_RS11940	KPNIH1_RS10955	NA	ROD_RS06600	b1734	STM14_RS07440	5
1656	ECL_RS13530	KPNIH1_RS09390	NA	ROD_RS04905	b0896	STM14_RS05280	5
1681	ECL_RS06995	NA	SMDB11_RS11010	ROD_RS09525	b1879	STM14_RS10475	5
1741	ECL_RS18520	KPNIH1_RS19220	SMDB11_RS13910	ROD_RS13855	NA	STM14_RS13255	5
1838	ECL_RS03680	KPNIH1_RS03565	NA	ROD_RS23960	b4361	STM14_RS23805	5
1842	ECL_RS20290	KPNIH1_RS21295	NA	ROD_RS15180	b2726	STM14_RS15310	5
1861	ECL_RS22400	KPNIH1_RS23930	SMDB11_RS17640	ROD_RS23670	b3092	NA	5
1866	ECL_RS20300	KPNIH1_RS21305	NA	ROD_RS15170	b2728	STM14_RS15320	5
1905	ECL_RS25115	KPNIH1_RS00490	NA	ROD_RS18775	b3945	STM14_RS21610	5
1973	ECL_RS13275	KPNIH1_RS09595	SMDB11_RS05075	ROD_RS05125	b0935	NA	5
1987	ECL_RS00050	KPNIH1_RS27030	NA	ROD_RS20015	b4477	STM14_RS20215	5
2009	ECL_RS16500	KPNIH1_RS17880	NA	ROD_RS10675	b2015	STM14_RS11550	5
2041	ECL_RS15960	NA	SMDB11_RS10905	ROD_RS10050	b1948	STM14_RS10805	5
2053	ECL_RS17405	KPNIH1_RS18660	NA	ROD_RS11625	b2214	STM14_RS12545	5
2065	ECL_RS13620	NA	SMDB11_RS04795	ROD_RS04495	b0877	STM14_RS05150	5
2080	ECL_RS04670	KPNIH1_RS04780	NA	ROD_RS00840	b0162	STM14_RS01635	5
2084	ECL_RS25230	KPNIH1_RS26550	NA	ROD_RS18935	b3918	STM14_RS21390	5
2117	ECL_RS22455	KPNIH1_RS23985	NA	ROD_RS23560	b3103	STM14_RS17245	5
2119	ECL_RS10670	KPNIH1_RS12925	NA	ROD_RS07425	b1539	STM14_RS08410	5
2127	ECL_RS09405	KPNIH1_RS14400	NA	ROD_RS07750	b1479	STM14_RS08700	5
2130	ECL_RS16680	NA	SMDB11_RS04330	ROD_RS10825	b2049	STM14_RS11730	5
2136	ECL_RS07440	KPNIH1_RS16825	NA	ROD_RS09035	b1193	STM14_RS09885	5
2147	ECL_RS08030	KPNIH1_RS16245	SMDB11_RS09755	NA	b1241	STM14_RS09640	5
2185	ECL_RS09980	KPNIH1_RS14880	NA	ROD_RS07985	b1431	STM14_RS08910	5
2192	ECL_RS00790	KPNIH1_RS26240	NA	ROD_RS20775	b3603	STM14_RS19530	5
2199	ECL_RS00045	KPNIH1_RS27035	NA	ROD_RS20010	b3693	STM14_RS20220	5
2217	ECL_RS00980	KPNIH1_RS26140	NA	ROD_RS20895	b3564	STM14_RS19365	5
2225	ECL_RS00135	KPNIH1_RS26935	NA	ROD_RS20130	b3673	STM14_RS20065	5
2242	ECL_RS10740	KPNIH1_RS12890	NA	ROD_RS07380	b1584	STM14_RS08365	5
2254	ECL_RS05995	KPNIH1_RS06185	NA	ROD_RS02590	b0459	STM14_RS02975	5
2274	ECL_RS14600	KPNIH1_RS08320	NA	ROD_RS03840	b0759	STM14_RS04505	5
2290	ECL_RS21660	KPNIH1_RS23500	NA	ROD_RS17580	b3026	STM14_RS16965	5
2326	ECL_RS19625	KPNIH1_RS20445	NA	ROD_RS12635	b2604	STM14_RS14605	5
2330	ECL_RS09015	KPNIH1_RS12190	NA	ROD_RS08245	b1343	STM14_RS09160	5
2334	ECL_RS14405	KPNIH1_RS08630	NA	ROD_RS04080	b0797	STM14_RS04735	5
2342	ECL_RS09865	KPNIH1_RS13155	NA	ROD_RS07530	b1528	STM14_RS08470	5
2345	ECL_RS04155	KPNIH1_RS04150	NA	ROD_RS00365	b0065	STM14_RS01100	5
2347	ECL_RS17065	KPNIH1_RS18345	NA	ROD_RS11195	b2136	STM14_RS12060	5
2382	ECL_RS12845	KPNIH1_RS09930	NA	ROD_RS05420	b1015	STM14_RS06110	5
2397	ECL_RS01565	KPNIH1_RS01660	NA	ROD_RS16980	b4063	STM14_RS22395	5
2414	ECL_RS23925	KPNIH1_RS25460	NA	ROD_RS21645	b4476	STM14_RS18760	5
2419	ECL_RS01345	KPNIH1_RS01360	NA	ROD_RS18380	b4022	STM14_RS22025	5
2436	ECL_RS10970	KPNIH1_RS12795	NA	ROD_RS07310	b1600	STM14_RS08265	5
2437	ECL_RS10965	KPNIH1_RS12800	NA	ROD_RS07315	b1599	STM14_RS08270	5
2460	ECL_RS14285	KPNIH1_RS08710	NA	ROD_RS04155	b0815	STM14_RS04805	5
2465	ECL_RS16475	KPNIH1_RS17835	NA	ROD_RS10640	b2009	STM14_RS11510	5
2470	ECL_RS15925	NA	SMDB11_RS10870	ROD_RS10015	b1941	STM14_RS10770	5
2479	ECL_RS11955	KPNIH1_RS10940	SMDB11_RS00725	NA	b1737	STM14_RS07425	5
2483	ECL_RS14195	KPNIH1_RS08785	NA	ROD_RS04205	b0823	STM14_RS04850	5
2507	ECL_RS09890	KPNIH1_RS13125	NA	ROD_RS07505	b1533	STM14_RS08445	5
2508	ECL_RS16010	KPNIH1_RS17475	NA	ROD_RS10100	b1959	STM14_RS10855	5
2512	ECL_RS14190	KPNIH1_RS08790	NA	ROD_RS04210	b0824	STM14_RS04855	5
2543	ECL_RS05185	KPNIH1_RS05135	SMDB11_RS01100	ROD_RS01690	NA	STM14_RS02175	5
2584	ECL_RS07125	KPNIH1_RS17160	NA	ROD_RS09370	b1851	STM14_RS10335	5
2588	ECL_RS09870	KPNIH1_RS13150	NA	ROD_RS07525	b1529	STM14_RS08465	5
2623	ECL_RS04905	KPNIH1_RS05020	NA	ROD_RS01120	b0210	STM14_RS01880	5
2631	ECL_RS16675	NA	SMDB11_RS04335	ROD_RS10820	b2048	STM14_RS11725	5
2634	ECL_RS07825	KPNIH1_RS16460	NA	ROD_RS08945	b1206	STM14_RS09795	5
2637	ECL_RS05510	KPNIH1_RS05550	NA	ROD_RS02110	b0376	STM14_RS02490	5
2645	ECL_RS21650	KPNIH1_RS23490	NA	ROD_RS17570	b3024	STM14_RS16955	5
2672	ECL_RS05540	KPNIH1_RS05580	NA	ROD_RS02135	b0381	STM14_RS02515	5
2693	ECL_RS07135	KPNIH1_RS17150	NA	ROD_RS09360	b1849	STM14_RS10325	5
2734	ECL_RS06860	KPNIH1_RS17320	NA	ROD_RS09670	b1902	STM14_RS10570	5
2736	ECL_RS06830	KPNIH1_RS17355	NA	ROD_RS09695	b1905	STM14_RS10585	5
2751	ECL_RS18635	KPNIH1_RS19355	NA	ROD_RS11760	b2418	STM14_RS13410	5
2758	ECL_RS10665	KPNIH1_RS12930	NA	ROD_RS07430	b1538	STM14_RS08415	5
2760	ECL_RS08650	KPNIH1_RS11235	NA	ROD_RS08505	b1286	STM14_RS09405	5
2779	ECL_RS20265	KPNIH1_RS21270	NA	ROD_RS15205	b2721	STM14_RS15285	5
2806	ECL_RS03075	KPNIH1_RS02580	NA	ROD_RS16255	b4235	STM14_RS23265	5
2833	ECL_RS10675	KPNIH1_RS12920	NA	ROD_RS07420	b1540	STM14_RS08405	5
2844	ECL_RS12385	KPNIH1_RS10270	NA	ROD_RS05895	b1111	STM14_RS06570	5
2857	ECL_RS17005	KPNIH1_RS18290	NA	ROD_RS11095	b2126	STM14_RS12005	5
2869	ECL_RS19260	KPNIH1_RS20065	NA	ROD_RS12180	b2521	STM14_RS13890	5
2876	ECL_RS06990	NA	SMDB11_RS11015	ROD_RS09530	b1880	STM14_RS10480	5
2892	ECL_RS23955	KPNIH1_RS25495	NA	ROD_RS21605	b3447	STM14_RS18810	5
2897	ECL_RS06740	KPNIH1_RS17415	NA	ROD_RS09765	b1916	STM14_RS10660	5
2900	ECL_RS12065	KPNIH1_RS10820	NA	ROD_RS06480	b1761	STM14_RS07355	5
2906	ECL_RS02620	KPNIH1_RS02155	SMDB11_RS22255	ROD_RS15830	NA	STM14_RS22760	5
2908	ECL_RS23030	KPNIH1_RS24545	NA	ROD_RS22655	b3237	STM14_RS17860	5
2930	ECL_RS17400	KPNIH1_RS18655	NA	ROD_RS11620	b2213	STM14_RS12540	5
2933	ECL_RS17040	KPNIH1_RS18320	NA	ROD_RS11155	b2132	STM14_RS12040	5
2937	ECL_RS23120	KPNIH1_RS24630	SMDB11_RS18185	ROD_RS22540	NA	STM14_RS17950	5
2941	ECL_RS15140	KPNIH1_RS07740	NA	ROD_RS03190	b0621	STM14_RS03740	5
2953	ECL_RS04485	KPNIH1_RS04530	NA	ROD_RS00690	b0124	STM14_RS01430	5
2956	ECL_RS12920	KPNIH1_RS09850	NA	ROD_RS05385	b1002	STM14_RS06075	5
2975	ECL_RS09200	KPNIH1_RS14700	NA	ROD_RS07860	b1452	STM14_RS08805	5
2986	ECL_RS15135	KPNIH1_RS07745	NA	ROD_RS03195	b0622	STM14_RS03745	5
2996	ECL_RS12910	KPNIH1_RS09860	NA	ROD_RS05395	b1004	STM14_RS06085	5
3007	ECL_RS12660	NA	SMDB11_RS05700	ROD_RS05620	b1056	STM14_RS06285	5
3017	ECL_RS15350	KPNIH1_RS07475	SMDB11_RS21995	NA	b0585	STM14_RS03535	5
3023	ECL_RS09135	KPNIH1_RS14775	NA	ROD_RS07915	b1445	STM14_RS08855	5
3026	ECL_RS20160	KPNIH1_RS21150	NA	ROD_RS15320	b2701	STM14_RS15190	5
3031	ECL_RS06655	NA	SMDB11_RS10820	ROD_RS09955	b1925	STM14_RS10715	5
3032	ECL_RS15950	NA	SMDB11_RS10895	ROD_RS10040	b1946	STM14_RS10795	5
3033	ECL_RS06915	NA	SMDB11_RS11060	ROD_RS09615	b1889	STM14_RS10520	5
3034	ECL_RS06910	NA	SMDB11_RS11065	ROD_RS09620	b1890	STM14_RS10525	5
3038	ECL_RS03670	KPNIH1_RS03555	NA	ROD_RS23950	b4359	STM14_RS23795	5
3048	ECL_RS20800	KPNIH1_RS22225	NA	ROD_RS14265	b2840	STM14_RS16125	5
3058	ECL_RS09785	KPNIH1_RS13230	NA	ROD_RS07575	b1524	STM14_RS08485	5
3097	ECL_RS09800	KPNIH1_RS13220	NA	ROD_RS07565	b1526	STM14_RS08475	5
3114	ECL_RS03705	KPNIH1_RS03575	NA	ROD_RS23970	b4363	STM14_RS23815	5
3128	ECL_RS20005	KPNIH1_RS20950	NA	ROD_RS15470	b2670	STM14_RS15030	5
3158	ECL_RS20490	KPNIH1_RS21590	SMDB11_RS00575	ROD_RS14940	NA	STM14_RS15795	5
3187	ECL_RS11880	KPNIH1_RS16145	NA	ROD_RS06660	b1722	STM14_RS07495	5
3202	ECL_RS09995	KPNIH1_RS14885	NA	ROD_RS07990	b1430	STM14_RS08915	5
3204	ECL_RS05525	KPNIH1_RS05565	NA	ROD_RS02120	b0378	STM14_RS02500	5
3206	ECL_RS03675	KPNIH1_RS03560	NA	ROD_RS23955	b4360	STM14_RS23800	5
3247	ECL_RS05975	KPNIH1_RS06160	SMDB11_RS01840	ROD_RS02580	NA	STM14_RS02965	5
3249	ECL_RS07900	KPNIH1_RS16390	NA	ROD_RS08875	b1219	STM14_RS09735	5
3250	ECL_RS06030	KPNIH1_RS06225	SMDB11_RS01875	ROD_RS02640	NA	STM14_RS03015	5
3318	ECL_RS05560	KPNIH1_RS05605	NA	ROD_RS02160	b0384	STM14_RS02535	5
3332	ECL_RS09300	KPNIH1_RS14585	NA	ROD_RS07845	b1463	STM14_RS08785	5
3334	ECL_RS16005	KPNIH1_RS17470	NA	ROD_RS10095	b1958	STM14_RS10850	5
3335	ECL_RS17060	KPNIH1_RS18340	NA	ROD_RS11190	b2135	STM14_RS12055	5
3337	ECL_RS17045	KPNIH1_RS18325	NA	ROD_RS11160	b2133	STM14_RS12045	5
3348	ECL_RS16995	KPNIH1_RS18280	NA	ROD_RS11085	b2124	STM14_RS11995	5
3368	ECL_RS09895	KPNIH1_RS13120	NA	ROD_RS07500	b1534	STM14_RS08440	5
